reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments,survey_date
1,Tributary to Fraser River,203581_us,00000NA,,,4.1,4.6,4.2,6,3.9,4.3,,4.5,metre tape,1.6,2.3,1.8,2.1,1.8,1.5,,1.9,metre tape,0.35,0.3,0.35,0.3,,,,0.3,metre stick,0.3,,,,0.3,metre stick,2,3.5,2,,2.5,clinometer,low,,8,recording meter,489,recording meter,7.6,pH meter (general),Lightly Turbid,moderate,dominant,sub-dominant,sub-dominant,sub-dominant,sub-dominant,sub-dominant,none,21-40%,few,clumped,none,undercut,fines,,mixed forest,mature forest,sloping,gravels,,mixed forest,mature forest,gravels,fines,,,step-pool,sinuous,Partially Coupled,entrenched,landslide or bank sloughing,5,50,,10,526464,5985795,GPS General,Landslide ~300m upstream of railway tracks - Wp208. Low gradient stream with abundant gravels and numerous fish to 60mm observed. Entrenched steep wall valley with several sections where clay banks have collapsed into the stream. Surveyed upstream from railway culvert for 650m.  eDNA samples collected upstream of the crossing.,2025-09-24
2,Tributary to Fraser River,203581_ds,00000NA,,,8,10,7,8,,,,8.3,metre tape,0.9,1.6,0.5,0.9,,,,1,metre tape,,,,,,,,,metre stick,,,,,,metre stick,2,3,,,2.5,clinometer,moderate,,8,recording meter,489,recording meter,7.6,pH meter (general),Lightly Turbid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,526416,5985823,GPS General,Surveyed downstream of railway culvert for ~80m to confluence with the Fraser River. eDNA samples collected upstream of the crossing.,2025-09-24
3,Tributary to Fraser River,196076_ds,00000TABR,,,9,9,14,4.1,2.6,3.4,,7,metre tape,7,9,13,1.8,1.6,1.9,,5.7,metre tape,0.3,0.4,,,,,,0.4,metre stick,0.35,0.4,,,0.4,metre stick,3,,,,3,clinometer,low,,8,recording meter,489,recording meter,7.6,pH meter (general),Lightly Turbid,moderate,sub-dominant,trace,trace,sub-dominant,dominant,sub-dominant,none,21-40%,few,clumped,none,sloping,cobbles,,mixed forest,mature forest,undercut,fines,,mixed forest,mature forest,,,,,,,,,,,,,10,527310,5985243,GPS General,"Beaver dams ranging from 0.6–1m in height, began approximately 150m downstream of the culvert within an incised gully. Upstream of the dams, abundant gravels, shallow pools, and small woody debris created habitat suitable for parr and juvenile rearing. eDNA samples collected upstream and downstream of the crossing.",2025-09-24
4,Tributary to Fraser River,196076_us,00000TABR,,,3.2,3.7,3.8,3.3,3.8,2.9,,3.5,metre tape,1.8,2.1,2.2,2.1,1.7,2.6,,2.1,metre tape,0.28,0.25,0.5,0.4,,,,0.4,metre stick,0.4,0.45,0.45,,0.4,metre stick,3,2.5,,,2.8,clinometer,moderate,,8,recording meter,489,recording meter,7.6,pH meter (general),Lightly Turbid,moderate,sub-dominant,none,trace,dominant,sub-dominant,sub-dominant,none,21-40%,few,evenly distributed,none,sloping,gravels,,shrubs,shrub,undercut,fines,,mixed forest,mature forest,,,,,,,,,,,,,10,527390,5984978,GPS General,"Moderate-sized, low-gradient stream with abundant gravels and habitat suitable for fry and juvenile salmonid rearing, including shallow pools, small and large woody debris, and undercut banks. No fish or barriers were observed at the time of assessment. eDNA samples collected upstream and downstream of the crossing.",2025-09-25
5,Tabor Creek,196085_ds,00000TABR,,,12,8.1,9.8,9.5,,,,9.9,metre tape,1.9,3.4,2.2,5.9,,,,3.4,metre tape,0.3,0.2,0.2,,,,,0.2,metre stick,0.6,0.6,,,0.6,metre stick,1.5,2.5,2,,2,clinometer,low,,9,recording meter,497,recording meter,7.6,pH meter (general),clear,trace,trace,trace,dominant,sub-dominant,trace,trace,sub-dominant,1-20%,few,clumped,algae,sloping,cobbles,,mixed forest,mature forest,sloping,cobbles,,mixed forest,mature forest,boulders,cobbles,,,riffle-pool,irregular wandering,Partially Coupled,occasionally confined,,,,,10,518189,5961986,GPS General,"The stream was flowing, but discharge appeared minimal relative to channel-forming flows. Extensive algae growth near the highway suggested potential nutrient inputs, possibly from the upstream mill site; algae presence decreased farther downstream. Large areas of gravels were present and suitable for chinook and sockeye spawning, contingent on adequate flows during spawning periods. eDNA sample collected at the downstream end of the survey. Chinook documented downstream of Willow FSR crossing in 2004.",2025-09-25
6,Tabor Creek,196085_us,00000TABR,,,13.1,10,8,12,12,,,11,metre tape,1.9,,,,,,,1.9,metre tape,,,,,,,,,metre stick,0.8,0.9,0.7,,0.8,metre stick,1.5,2,1.5,1,1.5,clinometer,low,,9,recording meter,497,recording meter,7.6,pH meter (general),clear,trace,trace,trace,dominant,sub-dominant,trace,trace,trace,1-20%,few,evenly distributed,vascular plants,sloping,fines,,mixed forest,mature forest,V-shaped,gravels,,mixed forest,mature forest,gravels,cobbles,,,riffle-pool,irregular meanders,Partially Coupled,frequently confined,,,,,10,518524,5962003,GPS General,Channel was dewatered at the time of assessment with shallow pools present at the downstream end of the site. Gravels were abundant throughout and suitable for chinook and sockeye spawning under adequate flow conditions. Deep pools were likely present when the stream was flowing. Chinook were documented downstream of the Willow FSR crossing in 2004.  eDNA sample collected at the bottom end of the survey (upstream of the crossing).,2025-09-25
7,Tabor Creek,203582_us,00000NA,,,13,12,17,14.3,12,19,,14.6,metre tape,,,,0.9,4.5,2,,2.5,metre tape,,,,,,,,,metre stick,,,,,,metre stick,1.5,0.5,0.5,,0.8,clinometer,low,,9,recording meter,497,recording meter,7.6,pH meter (general),clear,trace,trace,trace,dominant,sub-dominant,trace,trace,none,1-20%,few,clumped,algae,overhanging bank,fines,,mixed forest,mature forest,sloping,gravels,,mixed forest,mature forest,gravels,cobbles,,,riffle-pool,irregular wandering,Partially Coupled,frequently confined,,,,,10,518868,5962010,GPS General,"Stream was dewatered until approximately 360m upstream of the railway culverts. The farthest downstream pool contained numerous fry and was where eDNA sampling was conducted. Upstream, occasional pools transitioned to increasing flow toward the upper end of the site where a continually flowing channel reemerged. The system was extremely large with high flows during freshet based on the size of the substrates. Gravels were abundant throughout, with limited woody debris or instream cover at low flow, restricted mainly to interstitial spaces between cobbles and boulders.",2025-09-25
8,Tributary to Stony Lake,126158_ds,00000WILL,,,4.4,2.9,4.8,5,,,,4.3,metre tape,2.3,1.1,2.3,3.2,,,,2.2,metre tape,0.45,,,,,,,0.5,metre stick,0.57,0.6,0.45,,0.5,metre stick,1.5,3,3.5,,2.7,clinometer,moderate,,3,recording meter,79,recording meter,7.4,pH meter (general),clear,moderate,sub-dominant,trace,trace,dominant,sub-dominant,sub-dominant,trace,21-40%,few,evenly distributed,mosses,sloping,gravels,,mixed forest,mature forest,undercut,fines,,mixed forest,mature forest,gravels,cobbles,,,riffle-pool,sinuous,Partially Coupled,occasionally confined,,,,,10,577453,5918510,GPS General,"Abundant gravels were present throughout with no barriers observed between the road crossing and the lake. The stream was relatively large with good flow, containing occasional shallow pools and sparse large and small woody debris. eDNA sample collected at the downstream end of the survey.",2025-10-05
9,Tributary to Stony Lake,126158_us,00000WILL,,,5,3.3,2.7,3.8,2.7,,,3.5,metre tape,4,2.4,2.4,2.3,2.5,,,2.7,metre tape,0.25,0.25,,,,,,0.3,metre stick,0.6,0.6,0.6,,0.6,metre stick,5,5.5,4,,4.8,clinometer,moderate,,3,recording meter,79,recording meter,7.4,pH meter (general),clear,moderate,sub-dominant,sub-dominant,sub-dominant,dominant,trace,sub-dominant,trace,41-70%,few,evenly distributed,mosses,sloping,gravels,,mixed forest,mature forest,undercut,fines,,coniferous forest,young forest,gravels,cobbles,,,riffle-pool,sinuous,Decoupled,occasionally confined,,,,,10,577644,5918593,GPS General,"Low-gradient stream with abundant gravels and diverse cover types including boulders, small and large woody debris, and undercut banks.  Good flow with no natural barriers observed within the surveyed area. eDNA sample was collected at the downstream end of the site. Bull trout documented downstream of the crossing in 2014.",2025-10-05
10,South Yuzkli Creek,196332_ds,00000WILL,,,2.9,3.7,3.2,3.2,4,3.3,,3.4,metre tape,2,2.8,2.8,3,2.1,3.1,,2.6,metre tape,0.3,0.35,0.35,0.25,,,,0.3,metre stick,0.4,0.4,,,0.4,metre stick,7.5,8,8,,7.8,clinometer,moderate,,2,recording meter,116,recording meter,7.2,pH meter (general),clear,moderate,sub-dominant,sub-dominant,dominant,sub-dominant,sub-dominant,sub-dominant,trace,41-70%,few,evenly distributed,mosses,sloping,cobbles,,coniferous forest,mature forest,undercut,fines,,coniferous forest,mature forest,cobbles,boulders,,,step-pool,sinuous,Partially Coupled,frequently confined,,,,,10,578168,5895305,GPS General,"Steep stream with numerous step-pool features formed by large woody debris ranging from 40–60cm in height. Shallow pools were present, typically 30–40cm deep, with boulder and overhead cover distributed throughout. eDNA sample was collected at the downstream end of the site. Bull trout documented downstream of the crossing in 2014.",2025-10-05
